timestamp,plant_name,generation
2024-01-01 20:00:00,영흥풍력 2,0.0
2024-01-01 21:00:00,삼천포풍력 1,0.0
2024-01-01 21:00:00,어음풍력 1,1309.28
2024-01-01 21:00:00,영흥풍력 1,0.0
2024-01-01 21:00:00,군위 화산풍력 1,0.0
2024-01-01 21:00:00,영흥풍력 2,190.08
2024-01-01 22:00:00,삼천포풍력 1,0.0
2024-01-01 22:00:00,어음풍력 1,1176.0
2024-01-01 22:00:00,영흥풍력 1,98.155
2024-01-01 22:00:00,군위 화산풍력 1,9.642
2024-01-01 22:00:00,영흥풍력 2,151.68
2024-01-01 23:00:00,삼천포풍력 1,0.0
2024-01-01 23:00:00,어음풍력 1,843.976
2024-01-01 23:00:00,영흥풍력 1,0.0
2024-01-01 23:00:00,군위 화산풍력 1,202.484
2024-01-01 23:00:00,영흥풍력 2,405.12
2024-01-02 00:00:00,삼천포풍력 1,0.0
2024-01-02 00:00:00,어음풍력 1,581.0
2024-01-02 00:00:00,영흥풍력 1,0.0
2024-01-02 00:00:00,군위 화산풍력 1,231.411
2024-01-02 00:00:00,영흥풍력 2,84.48
2024-01-02 01:00:00,삼천포풍력 1,0.0
2024-01-02 01:00:00,어음풍력 1,415.464
2024-01-02 01:00:00,영흥풍력 1,0.0
2024-01-02 01:00:00,군위 화산풍력 1,183.2
2024-01-02 01:00:00,영흥풍력 2,478.08
2024-01-02 02:00:00,삼천포풍력 1,0.0
2024-01-02 02:00:00,어음풍력 1,1329.832
2024-01-02 02:00:00,영흥풍력 1,0.0
2024-01-02 02:00:00,군위 화산풍력 1,144.632
2024-01-02 02:00:00,영흥풍력 2,405.12
2024-01-02 03:00:00,삼천포풍력 1,0.0
2024-01-02 03:00:00,어음풍력 1,774.032
2024-01-02 03:00:00,영흥풍력 1,0.0
2024-01-02 03:00:00,군위 화산풍력 1,115.705
2024-01-02 03:00:00,영흥풍력 2,1.92
2024-01-02 04:00:00,삼천포풍력 1,0.0
2024-01-02 04:00:00,어음풍력 1,483.448
2024-01-02 04:00:00,영흥풍력 1,0.0
2024-01-02 04:00:00,군위 화산풍력 1,318.189
2024-01-02 04:00:00,영흥풍력 2,0.0
2024-01-02 05:00:00,삼천포풍력 1,0.0
2024-01-02 05:00:00,어음풍력 1,1085.896
2024-01-02 05:00:00,영흥풍력 1,0.0
2024-01-02 05:00:00,군위 화산풍력 1,183.2
2024-01-02 05:00:00,영흥풍력 2,0.0
2024-01-02 06:00:00,삼천포풍력 1,0.0
2024-01-02 06:00:00,어음풍력 1,1101.296
2024-01-02 06:00:00,영흥풍력 1,0.0
2024-01-02 06:00:00,군위 화산풍력 1,289.263
2024-01-02 06:00:00,영흥풍력 2,0.0
2024-01-02 07:00:00,삼천포풍력 1,0.0
2024-01-02 07:00:00,어음풍력 1,460.768
2024-01-02 07:00:00,영흥풍력 1,0.0
2024-01-02 07:00:00,군위 화산풍력 1,530.316
2024-01-02 07:00:00,영흥풍력 2,0.0
2024-01-02 08:00:00,삼천포풍력 1,0.0
2024-01-02 08:00:00,어음풍력 1,664.776
2024-01-02 08:00:00,영흥풍력 1,0.0
